,type_audience_score,counts
292,stand_up_'42',1
293,stand_up_'44',1
294,stand_up_'45',1
295,stand_up_'46',2
296,stand_up_'49',1
297,stand_up_'50',5
298,stand_up_'53',2
299,stand_up_'54',2
300,stand_up_'56',1
301,stand_up_'57',1
302,stand_up_'59',2
303,stand_up_'60',5
304,stand_up_'62',1
305,stand_up_'63',1
306,stand_up_'64',2
307,stand_up_'65',2
308,stand_up_'66',2
309,stand_up_'67',3
310,stand_up_'68',1
311,stand_up_'69',1
312,stand_up_'70',1
313,stand_up_'71',3
314,stand_up_'73',1
315,stand_up_'74',3
316,stand_up_'75',2
317,stand_up_'76',2
318,stand_up_'80',7
319,stand_up_'81',4
320,stand_up_'82',1
321,stand_up_'83',4
322,stand_up_'85',1
323,stand_up_'86',1
324,stand_up_'87',1
325,stand_up_'88',3
326,stand_up_'89',3
327,stand_up_'9',1
328,stand_up_'90',3
329,stand_up_'91',3
330,stand_up_'92',2
331,stand_up_'93',2
332,stand_up_'95',2
333,stand_up_'96',1
334,stand_up_'97',1
335,stand_up_'99',1
336,stand_up_nan,25
337,variety_'100',1
338,variety_'40',1
339,variety_'71',1
340,variety_'79',1
341,variety_nan,3
342,war_'100',7
343,war_'81',1
344,war_'84',1
345,war_'85',13
346,war_'86',11
347,war_'87',12
348,war_'88',13
349,war_'89',8
350,war_'90',5
351,war_'91',4
352,war_'92',8
353,war_'93',7
354,war_'94',2
355,war_'95',2
356,war_'96',2
357,western_'100',1
358,western_'71',1
359,western_'76',13
360,western_'77',5
361,western_'78',10
362,western_'79',7
363,western_'80',9
364,western_'81',6
365,western_'82',6
366,western_'83',15
367,western_'84',6
368,western_'85',8
369,western_'86',12
370,western_'87',6
371,western_'88',9
372,western_'89',7
373,western_'90',4
374,western_'91',7
375,western_'92',3
376,western_'93',3
377,western_'94',1
378,western_'95',1
379,western_'97',1
380,western_nan,1
