,month_type,counts
274,Oct_holiday,15
275,Oct_horror,25
276,Oct_kids_and_family,4
277,Oct_lgbtq,8
278,Oct_music,11
279,Oct_musical,7
280,Oct_mystery_and_thriller,3
281,Oct_reality,1
282,Oct_romance,10
283,Oct_sci_fi,5
284,Oct_short,1
285,Oct_sports,4
286,Oct_stand_up,18
287,Oct_variety,1
288,Oct_war,5
289,Oct_western,15
290,Sep_action,15
291,Sep_adventure,6
292,Sep_animation,7
293,Sep_anime,5
294,Sep_biography,11
295,Sep_comedy,9
296,Sep_crime,8
297,Sep_documentary,7
298,Sep_drama,3
299,Sep_fantasy,6
300,Sep_health_and_wellness,1
301,Sep_history,7
302,Sep_holiday,8
303,Sep_horror,8
304,Sep_kids_and_family,3
305,Sep_lgbtq,11
306,Sep_music,9
307,Sep_musical,6
308,Sep_mystery_and_thriller,8
309,Sep_romance,5
310,Sep_sci_fi,2
311,Sep_short,1
312,Sep_sports,3
313,Sep_stand_up,9
314,Sep_war,10
315,Sep_western,13
