,month_audience_score,counts
293,May_'87',12
294,May_'88',12
295,May_'89',11
296,May_'90',12
297,May_'91',9
298,May_'92',13
299,May_'93',12
300,May_'94',10
301,May_'95',6
302,May_'96',2
303,May_'97',1
304,May_'98',2
305,May_'99',2
306,May_nan,6
307,Nov_'100',68
308,Nov_'15',1
309,Nov_'18',1
310,Nov_'30',1
311,Nov_'31',1
312,Nov_'42',1
313,Nov_'46',1
314,Nov_'58',1
315,Nov_'60',3
316,Nov_'72',1
317,Nov_'73',1
318,Nov_'74',4
319,Nov_'75',6
320,Nov_'76',6
321,Nov_'77',2
322,Nov_'78',3
323,Nov_'79',5
324,Nov_'80',8
325,Nov_'81',5
326,Nov_'82',3
327,Nov_'83',12
328,Nov_'84',7
329,Nov_'85',9
330,Nov_'86',12
331,Nov_'87',9
332,Nov_'88',16
333,Nov_'89',18
334,Nov_'90',16
335,Nov_'91',21
336,Nov_'92',25
337,Nov_'93',16
338,Nov_'94',18
339,Nov_'95',15
340,Nov_'96',13
341,Nov_'97',5
342,Nov_'98',6
343,Nov_'99',2
344,Nov_nan,12
345,Oct_'100',47
346,Oct_'31',1
347,Oct_'32',1
348,Oct_'37',1
349,Oct_'38',1
350,Oct_'60',1
351,Oct_'64',1
352,Oct_'67',1
353,Oct_'68',1
354,Oct_'71',1
355,Oct_'73',2
356,Oct_'74',1
357,Oct_'75',4
358,Oct_'76',2
359,Oct_'78',5
360,Oct_'79',3
361,Oct_'80',3
362,Oct_'81',3
363,Oct_'83',5
364,Oct_'84',2
365,Oct_'85',4
366,Oct_'86',7
367,Oct_'87',5
368,Oct_'88',15
369,Oct_'89',9
370,Oct_'90',15
371,Oct_'91',18
372,Oct_'92',6
373,Oct_'93',11
374,Oct_'94',6
375,Oct_'95',14
376,Oct_'96',7
377,Oct_'97',7
378,Oct_'98',4
379,Oct_'99',4
380,Oct_nan,8
381,Sep_'100',36
382,Sep_'44',1
383,Sep_'65',1
384,Sep_'71',1
385,Sep_'72',1
386,Sep_'73',2
387,Sep_'74',1
388,Sep_'75',2
389,Sep_'76',4
390,Sep_'77',2
391,Sep_'78',2
392,Sep_'79',2
393,Sep_'80',1
394,Sep_'81',2
395,Sep_'82',3
396,Sep_'83',4
397,Sep_'84',2
398,Sep_'85',2
399,Sep_'86',7
400,Sep_'87',6
401,Sep_'88',2
402,Sep_'89',11
403,Sep_'90',9
404,Sep_'91',10
405,Sep_'92',17
406,Sep_'93',7
407,Sep_'94',14
408,Sep_'95',8
409,Sep_'96',3
410,Sep_'97',8
411,Sep_'98',3
412,Sep_'99',3
413,Sep_nan,4
