score,id
7.3,2
7.5,1
7.6,5
7.7,3
7.8,4
7.9,4
8.0,11
8.1,14
8.2,15
8.3,14
8.4,17
8.5,11
8.6,28
8.7,23
8.8,36
8.9,44
9.0,22
9.1,35
9.2,40
9.3,32
9.4,23
9.5,7
9.6,6
9.7,3
