month_type,counts
Mar_action,15
Mar_adventure,12
Mar_animation,12
Mar_anime,9
Mar_biography,17
Mar_comedy,8
Mar_crime,12
Mar_documentary,12
Mar_drama,10
Mar_faith_and_spirituality,1
Mar_fantasy,4
Mar_history,16
Mar_holiday,11
Mar_horror,9
Mar_kids_and_family,6
Mar_lgbtq,11
Mar_music,13
Mar_musical,11
Mar_mystery_and_thriller,11
Mar_nature,2
Mar_romance,14
Mar_sci_fi,9
Mar_short,1
Mar_special_interest,1
Mar_sports,4
Mar_stand_up,11
Mar_war,14
Mar_western,8
