type_month,counts
action_Jan,14
action_Feb,2
action_Mar,15
action_Apr,14
action_May,9
action_Jun,10
action_Jul,14
action_Aug,18
action_Sep,15
action_Oct,11
action_Nov,17
action_Dec,11
